pq_scan,pq_bar,pq_udise,pq_grade,pq_nasid,pq_section,pq_age,pq_min,pq_miny,pq_gender,pq_bpl,pq_cwsn,pq_q01,pq_q02,pq_q03,pq_q04,pq_q05,pq_q06,pq_q07,pq_q08,pq_q09,pq_q10,pq_q11,pq_q12,pq_q13,pq_q14,pq_q15,pq_q16,pq_q17,pq_q18,pq_q19,pq_q20,pq_q21,pq_q22,pq_q23,pq_q24a,pq_q24b,pq_q24c,pq_q24d,pq_q24e,pq_q24f,pq_q24g,pq_q24h,pq_q24i,pq_q25a,pq_q25b,pq_q25c,pq_q25d,pq_q25e,pq_q25f,pq_q25g,pq_q25h,pq_q25i,pq_q25j,pq_q26a,pq_q26b,pq_q26c,pq_q26d,pq_q26e,pq_q26f,pq_q26g,pq_q27a,pq_q27b,pq_q27c,pq_q27d,pq_q27e,pq_q27f,pq_q27g,pq_q28a,pq_q28b,pq_q28c,pq_q28d,pq_q28e,pq_q28f,pq_q28g,pq_q28h,pq_q29a,pq_q29b,pq_q29c,pq_q29d,pq_q29e,pq_q29f,pq_q29g,pq_q30,pq_q31,pq_q32,pq_q33,pq_q34,pq_q35,pq_q36,pq_q37,pq_q38,pq_q39,pq_q40
41000276,112460096,7040322706,10,25,F,15,2,X,1,X,X,9,X,9,X,2,3,3,3,4,2,1,1,1,1,1,2,3,1,2,2,1,2,2,2,1,1,X,1,X,X,X,1,1,X,X,X,X,X,X,X,X,X,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,1,X,2
41000277,112460097,7040322706,10,26,G,14,2,X,1,2,2,0,0,6,6,1,3,3,1,4,2,4,3,3,1,1,3,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,2,2,2,X,X,X,X,X,1,3,1,1,1,1,1,1,1,1,2
41000278,112460098,7040322706,10,27,G,14,2,X,1,2,2,7,0,4,4,2,3,3,1,2,2,4,1,1,1,1,3,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,3,1,1,1,1,1,4
41000279,112460099,7040322706,10,28,G,15,1,3,2,2,2,0,9,9,4,3,3,3,1,4,2,3,1,3,1,1,3,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,2,X,X,X,X,X,X,X,1,1,1,3,4,1,1,1,1,2,2
41000280,112460100,7040322706,10,29,H,14,2,X,1,X,X,0,0,6,6,1,6,3,1,4,3,3,1,3,1,1,3,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,X,X,X,X,X,X,1,1,1,1,4,1,1,1,1,1,2
41000281,112460102,7040322706,10,Ex,H,15,2,X,1,2,2,9,9,6,6,1,3,3,1,4,2,2,1,1,1,1,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,1,2,1,2,X,X,X,X,X,X,X,1,1,1,1,1,1,1,1,1,1,2
41000342,812431941,7040322706,8,1,A,13,2,X,2,2,2,0,9,5,4,3,6,3,1,4,2,3,1,2,1,1,3,3,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41000343,812431942,7040322706,8,2,A,13,2,X,1,2,2,0,0,8,4,1,6,3,1,2,2,2,1,4,1,1,3,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41000344,812431943,7040322706,8,3,A,13,2,X,2,2,2,9,9,4,5,2,1,3,3,4,2,3,1,1,1,1,3,1,1,2,3,1,X,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41000345,812431944,7040322706,8,4,A,13,2,X,1,X,X,0,0,4,5,1,4,3,1,2,3,1,2,4,1,1,1,2,3,1,2,3,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,3,2,2,3,4,2,2,1,2,1
