sq_scan,sq_bar,sq_udise,sq_q01,sq_q02,sq_q03,sq_q04,sq_q05,sq_q06,sq_q07,sq_q08,sq_q09,sq_q10,sq_q11,sq_q12,sq_q13,sq_q14,sq_q15,sq_q16,sq_q17,sq_q18,sq_q19,sq_q20,sq_q21,sq_q22,sq_q23,sq_q24,sq_q25,sq_q26,sq_q27,sq_q28,sq_q29,sq_q30,sq_q31,sq_q32,sq_q33,sq_q34,sq_q35,sq_q36,sq_q37,sq_q38,sq_q39,sq_q40,sq_q41,sq_q42,sq_q43,sq_q44,sq_q45,sq_q46,sq_q47,sq_q48,sq_q49,sq_q50,sq_q51,sq_q52,sq_q53,sq_q54,sq_q55,sq_q56,sq_q57,sq_q58,sq_q59,sq_q60,sq_q61,sq_q62,sq_q63,sq_q64,sq_q65,sq_q66,sq_q67,sq_q68,sq_q69a,sq_q69b,sq_q69c,sq_q69d,sq_q69e,sq_q69f,sq_q69g,sq_q69h,sq_q70,sq_q71,sq_q72,sq_q73
41004645,442036758,7040322702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,3,3,1,1,1,1,1,2,1,1,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,3,3,3,4,3,1,1,1,1,1,2,2,2,4,4,4,4
41004706,442005819,7040523401,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,3,1,3,3,1,1,1,1,2,3,3,1,3,1,2,1,2,3,2,3,2,3,2,2,2,2,2,2,2,3,1,1,2,3,1,1,4,3,3,2,1,1,2,1,1,1,1,1,1,3,1,3
41004747,442036759,7040322703,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,Z,1,1,1,1,1,2,1,1,1,3,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,4,4,4,4,4,1,1,1,1,2,2,2,2,Z,4,4,4
41004906,442005764,7040121403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,3,2,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,1,1,1,1,1,1,1,1,4,4,3,4
41005057,442036780,7040523702,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,2,1,1,1,2,3,1,3,3,3,3,3,3,2,2,1,1,2,1,2,1,1,3,3,3,3,2,2,2,1,1,1,1,1,2,1,1,1,2,1,4,4,3,4,3,1,1,1,1,1,1,1,2,4,3,4,2
41005344,442005798,7040223702,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,3,3,3,1,1,3,1,1,1,2,2,2,1,1,1,2,3,3,3,3,3,2,2,1,1,1,1,3,2,1,1,2,1,3,4,4,4,4,1,1,2,2,2,1,1,1,4,4,3,4
41005363,442005774,7040122002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Z,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,2,1,1,2,4,4,4,4
41005441,442036724,7040221601,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,Z,1,3,2,2,3,3,2,2,3,1,2,2,1,1,2,2,1,1,2,2,2,X,X,X,2,2,2,1,1,1,1,1,1,1,2,1,4,4,4,Z,2,1,1,1,1,1,1,2,2,4,4,3,4
41005580,442005804,7040421407,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,3,3,2,2,3,2,2,2,1,1,1,2,2,1,2,1,3,3,3,3,3,2,2,2,1,1,1,1,2,2,1,2,3,1,2,3,2,2,2,2,1,1,1,1,1,2,2,4,3,3,4
41005581,442005805,7040421602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,1,3,3,3,3,3,2,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2,1,2,4,4,4,3,2,1,1,1,1,1,1,1,4,4,4,4
41005645,442005806,7040421605,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,3,2,3,1,1,1,2,2,2,2,2,2,3,3,1,1,1,3,3,2,2,2,2,2,2,1,1,1,2,2,1,1,1,1,1,3,3,3,2,2,2,1,1,1,1,1,2,1,4,3,4,4
41005709,442036771,7040323605,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,3,3,3,3,3,2,1,3,2,2,1,1,2,2,1,1,2,1,3,2,2,2,2,4,1,4,4,4,1,4,2,1,1,2,1,4,2,2,2,2,1,1,1,1,1,2,1,2,2,4,4,2
41005802,442036778,7040323902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,2,1,1,1,1,1,1,2,4,4,4,4
41005807,442036779,7040323904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,4,4,4,1,1,1,2,2,2,2,2,4,4,4,4
41005868,442005801,7040420904,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,3,3,2,2,2,3,3,2,1,2,2,2,2,2,1,1,3,2,2,3,3,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4
41006086,442036757,7040322605,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,3,4,3,4,2,2,1,1,1,1,1,2,2,2,4,3,4,4
41006150,442036777,7040323812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,3,1,1,1,2,1,2,4,4,4,4,1,1,1,1,1,1,2,2,4,4,4,4
41006167,442005817,7040522901,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,1,1,1,X,3,3,3,3,3,2,2,2,1,X,1,1,2,2,1,1,1,3,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1,2,1,1,4,4,3,4,1,1,1,1,2,2,1,1,4,3,4,4
41006294,442036746,7040322202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,3,1,1,4,4,3,3,1,1,1,1,1,1,1,2,4,4,4,4
41006360,442036745,7040322009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,2,1,1,1,1,1,2,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,4,4,4,4,3,1,1,1,1,2,2,2,2,4,4,4,4
41006371,442005818,7040523301,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,X,3,1,3,1,3,3,3,3,2,1,1,1,2,1,1,1,1,1,3,2,3,2,1,2,1,1,1,1,1,2,1,1,2,1,1,3,4,3,4,4,1,1,1,1,1,1,2,2,4,4,4,4
41006522,442005820,7040523402,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,3,3,3,3,3,3,1,1,1,2,2,1,1,1,1,1,1,3,2,3,3,3,1,4,2,1,1,1,2,1,1,1,1,2,1,2,3,3,2,4,1,1,2,2,2,1,2,1,4,4,4,4
41006823,442036785,7040921901,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,2,1,3,4,4,4,4,1,2,1,1,1,1,1,1,4,4,4,4
