state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,st_indicator
3,Punjab,math,273,0.7,2,304,240,,,0,253,,0,256,,0,267.27,277.62,,,2,273.58,,271.55,,2,266.15,278.99,,,2,242.69,,0,278.84,,2
4,Chandigarh,math,261,2.6,2,241,245,,,2,278,,2,273,,2,264.57,256.94,,,0,211.67,,264.28,,0,262.82,238.47,,,0,310.84,,2,261.93,,1
5,Uttarakhand,math,218,0.7,0,205,207,,,2,228,,2,243,,2,220.26,215.77,,,0,217.02,,219.63,,0,227.34,207.38,,,0,202.59,,0,212.83,,0
6,Haryana,math,242,0.5,2,235,200,,,0,246,,2,243,,2,240.68,243.2,,,2,240.12,,244.32,,0,249.81,229.23,,,0,231.85,,0,238.34,,0
7,Delhi,math,230,0.5,2,211,213,,,2,255,,2,233,,2,233.31,226.89,,,0,224.17,,230.41,,0,234.56,212.61,,,0,216.6,,0,228.2,,0
8,Rajasthan,math,256,0.5,2,262, ,,,3,249,,0,255,,0,252.33,258.95,,,2,261.13,,243.52,,2,257.98,252.43,,,0,240.71,,0,259.32,,2
9,Uttar Pradesh,math,211,0.2,0,199,209,,,2,211,,2,247,,2,215.53,206.63,,,0,210.11,,213.03,,0,217.28,205.64,,,0,201.44,,0,210.33,,0
10,BIHAR,math,229,0.3,2,223,219,,,0,239,,2,277,,2,236.63,222.45,,,0,226.5,,238.02,,0,237.54,214.42,,,0,213.43,,0,229.6,,0
11,SIKKIM,math,195,2.2,0,191,206,,,2,200,,2,219,,2,197.26,193.8,,,0,194.34,,198.52,,0,218.85,188.51,,,0,194.18,,0,191.58,,0
12,ARUNACHAL PRADESH,math,203,1.9,0,191,230,,,2,208,,2,223,,2,205.75,201.6,,,0,202.01,,204.75,,0,211.55,217.3,,,2,201.58,,0,202.86,,0
13,NAGALAND,math,200,1.8,0,196, ,,,3,200,,2,209,,2,201.3,199.67,,,0,201.99,,199.45,,2,204.84,211.13,,,2,199.56,,0,205.91,,2
14,MANIPUR,math,217,1.3,1,199,203,,,2,219,,2,235,,2,218.96,216.01,,,0,215.18,,222.21,,0,221.9,224.65,,,2,207.87,,0,221.09,,1
15,MIZORAM,math,200,1.8,0,197,203,,,2,203,,2,187,,0,199.41,200.04,,,1,198.16,,200.49,,0,216.25,189.07,,,0,200.26,,0,192.29,,0
16,TRIPURA,math,214,1.5,0,208,220,,,2,236,,2,249,,2,216.68,212.66,,,0,211.74,,222.31,,0,223.65,211.08,,,0,204.91,,0,221.32,,0
17,MEGHALAYA,math,198,1.4,0,192,194,,,2,203,,2,219,,2,201.48,194.97,,,0,196.3,,202.86,,0,218.11,189.47,,,0,194.78,,0,218.72,,1
18,ASSAM,math,221,0.5,1,218,211,,,0,232,,2,238,,2,222.22,220.3,,,0,220.03,,226.57,,0,227.66,216.94,,,0,210.12,,0,217.57,,0
19,WEST BENGAL,math,214,0.4,0,208,226,,,2,251,,2,244,,2,221.15,209.85,,,0,211.15,,222.31,,0,223.38,206.04,,,0,197.54,,0,210.61,,0
20,JHARKHAND,math,218,0.4,0,213,206,,,0,223,,2,251,,2,223.12,214.03,,,0,216.49,,221.96,,0,231.1,211.95,,,0,205.76,,0,219.88,,0
21,Odisha,math,224,0.4,2,218,218,,,1,253,,2,236,,2,225.99,222.58,,,0,220.62,,235.45,,0,240.86,215.86,,,0,207.13,,0,227.52,,0
22,Chhattisgarh,math,202,0.4,0,196,192,,,0,213,,2,236,,2,203.15,200.57,,,0,199.03,,207.48,,0,222.29,195.71,,,0,197.39,,0,201.17,,0
23,MADHYA PRADESH,math,226,0.3,2,232,214,,,0,223,,0,214,,0,225.42,225.68,,,1,226.92,,224.1,,2,239.91,225.56,,,0,205.19,,0,225.97,,0
24,Gujarat,math,211,0.3,0,200,207,,,2,219,,2,229,,2,212.61,210.36,,,0,210.24,,212.84,,0,218.96,206.62,,,0,211.09,,0,206.43,,0
25,Daman & Diu,math,208,5.2,1,199,208,,,2,215,,2,217,,2,211.87,204.61,,,0,214.09,,199.54,,2,218.88,180.52,,,0,199.57,,0,202.94,,0
26,Dadra & Nagar Haveli,math,201,2.4,0,195,188,,,0,230,,2,221,,2,202.36,200.39,,,0,201.07,,202.45,,0,215.12,201.78,,,0,195.31,,0,205.02,,0
27,Maharashtra,math,211,0.3,0,196,205,,,2,223,,2,237,,2,211.6,209.81,,,0,208.47,,212.97,,0,215.81,203.6,,,0,203.8,,0,209.72,,0
28,Andhra Pradesh,math,217,0.5,0,208,193,,,0,229,,2,228,,2,220.41,214.85,,,0,214.74,,221.14,,0,225.66,207.05,,,0,209.53,,0,217.64,,0
29,Karnataka,math,219,0.4,0,222,213,,,0,215,,0,241,,2,219.25,218.77,,,1,222.19,,216.01,,2,224.96,213.28,,,0,217.4,,0,219.71,,0
30,Goa,math,213,2.1,0,193,207,,,2,275,,2,237,,2,214.04,211.89,,,0,210.82,,214.79,,0,219.33,198.52,,,0,198.63,,0,202.84,,0
31,Lakshadweep,math,201,6.8,1,200, ,,,3, ,,3,218,,3,199.32,203.16,,,2,201.47,, ,,3, , ,,,3,201.9,,3,179.35,,3
32,Kerala,math,210,0.3,0,202,203,,,1,230,,2,246,,2,207.42,211.95,,,2,206.97,,216.47,,0,220.24,202.52,,,0,188.67,,0,207.57,,0
33,Tamilnadu,math,200,0.3,0,197,194,,,0,208,,2,230,,2,201.04,199.84,,,0,200.56,,199.31,,2,203.44,196.51,,,0,190.76,,0,200.82,,0
34,Puducherry,math,226,2,2,204,206,,,2,230,,2,262,,2,227.11,226.06,,,0,220.53,,230.37,,0,233.11,210.51,,,0,187.84,,0,226.64,,0
35,Andaman & Nicobar Islands,math,224,3.8,1,213,207,,,0,229,,2,244,,2,222.79,224.6,,,2,217.6,,228.41,,0,222.92,283.34,,,2,223.64,,1,215.73,,0
36,Telangana,math,210,0.4,0,201,215,,,2,218,,2,217,,2,211.67,208.24,,,0,205.42,,212.91,,0,224.55,205.29,,,0,201.55,,0,207.91,,0
37,Ladakh,math,208,4.4,1,194, ,,,3,213,,2,220,,2,205.32,209.81,,,2,205.32,,212.2,,0,201.06, ,,,3,206.68,,2,223.76,,2
0,Z-National,math,220,0.1,3,210,209,,,3,228,,3,235,,3,218.61,216.13,,,3,214.45,,220.48,,3,225.88,213.12,,,3,208.93,,3,216.78,,3
1,Jammu & Kashmir,sci,218,1.1,2,189,183,,,0,243,,2,250,,2,217.21,218.58,,,2,206.74,,237.57,,0,225.25,198.06,,,0,190.8,,0,210.99,,0
2,Himachal Pradesh,sci,205,1,1,185, ,,,3,228,,2,238,,2,203.46,206.8,,,2,199.57,,222.82,,0,212.19,192.9,,,0,199.88,,0,200.9,,0
3,Punjab,sci,254,0.6,2,266,209,,,0,247,,0,261,,0,246.42,261.24,,,2,249.45,,259.59,,0,256.72,250.67,,,0,233.04,,0,253.62,,0
4,Chandigarh,sci,260,2.4,2,226,246,,,2,292,,2,265,,2,260.25,259.53,,,1,206.61,,263.63,,0,266.99,226.22,,,0,313.74,,2,246.1,,0
5,Uttarakhand,sci,207,0.7,2,187,188,,,2,226,,2,237,,2,209.73,205.07,,,0,204.21,,212.69,,0,223.36,192.34,,,0,199.31,,0,193.21,,0
6,Haryana,sci,230,0.5,2,215,201,,,0,237,,2,250,,2,225.77,234.79,,,2,224.2,,238.38,,0,241.92,214.42,,,0,221.84,,0,224.67,,0
7,Delhi,sci,233,0.6,2,206,212,,,2,266,,2,243,,2,231.44,235.56,,,2,207.8,,233.7,,0,238.15,212.1,,,0,228.65,,0,233.21,,0
8,Rajasthan,sci,238,0.4,2,242, ,,,3,232,,0,254,,2,234.17,241.55,,,2,240.23,,232.27,,2,246.22,234.42,,,0,223.96,,0,239.11,,0
9,Uttar Pradesh,sci,191,0.2,0,180,185,,,2,193,,2,247,,2,194.26,187.84,,,0,188.2,,199.48,,0,201.32,183.48,,,0,182.4,,0,189.83,,0
10,BIHAR,sci,202,0.3,0,191,191,,,1,222,,2,258,,2,209.56,195.22,,,0,197.08,,219.87,,0,216.46,186.42,,,0,195.63,,0,200.29,,0
11,SIKKIM,sci,200,2.7,1,192,240,,,2,216,,2,221,,2,199.05,200.24,,,2,196.66,,207.74,,0,218.33,202.51,,,0,195.65,,0,197.97,,0
12,ARUNACHAL PRADESH,sci,209,2.5,1,188,244,,,2,221,,2,240,,2,208.31,209.3,,,1,207.49,,210.02,,0,203.73,214.46,,,2,209.04,,2,217.65,,2
13,NAGALAND,sci,204,1.9,1,182, ,,,3,208,,2,200,,2,200.75,206.84,,,2,195.65,,209.16,,0,210.42,204.09,,,0,202.87,,0,216.18,,2
14,MANIPUR,sci,219,1.5,2,187,184,,,0,222,,2,248,,2,217.75,220.16,,,2,215.62,,226.77,,0,230.96,231.89,,,1,206.29,,0,218.78,,0
15,MIZORAM,sci,189,2.2,0,182,198,,,2,193,,2,180,,0,188.91,189.7,,,1,178.72,,194.04,,0,252.65,179.7,,,0,188.54,,0,245.99,,0
